# AGSS09p2-Free-Opal-D5-PartIon-New
#
# 1: num      2:age           3:log(Te)         4:log(L/Lo)       5:Xc         6:NmuMax         7:Rmax  8:Tmax         9:NTmax         10:CpMax         11:KappaMax         12:RhoMax    13:R (Ro)    14:log g    15:(Z/X)s       16:Int((Nmu/r)^1.5)         17:RConv    18: Zs    19: Xs    20: Mass    21: C12(0)    22: Mover    22: He3(0)
    0     0.00000E+00     3.63165E+00     1.39102E+00     7.42503E-01     6.64652E-15     2.91884E+11     3.77621E+05     2.06963E-07     3.55926E+08     1.67161E+02     4.43539E-03     9.01274E+00     2.40325E+00     1.01961E-02     8.30668E-36     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54056E-06
    1     2.84134E+02     3.63189E+00     1.38499E+00     7.42503E-01     5.61733E-15     2.98147E+11     3.67422E+05     2.17839E-07     3.56234E+08     1.80204E+02     4.30291E-03     8.94060E+00     2.41023E+00     1.01961E-02     8.78366E-36     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54056E-06
    2     5.66869E+02     3.63212E+00     1.37911E+00     7.42503E-01     6.64652E-15     3.08558E+11     3.50383E+05     2.34820E-07     3.56774E+08     2.05544E+02     4.04757E-03     8.87088E+00     2.41703E+00     1.01961E-02     9.81086E-36     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54057E-06
    3     8.55455E+02     3.63235E+00     1.37323E+00     7.42503E-01     6.64652E-15     3.01693E+11     3.60297E+05     2.28573E-07     3.56534E+08     1.91738E+02     4.26935E-03     8.80177E+00     2.42382E+00     1.01961E-02     1.06237E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54057E-06
    4     1.14999E+03     3.63258E+00     1.36735E+00     7.42503E-01     5.61733E-15     2.75529E+11     4.01628E+05     1.97957E-07     3.55583E+08     1.46568E+02     5.08991E-03     8.73326E+00     2.43061E+00     1.01961E-02     1.17103E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54058E-06
    5     1.45062E+03     3.63280E+00     1.36148E+00     7.42503E-01     6.15348E-15     3.01239E+11     3.59164E+05     2.34334E-07     3.56673E+08     1.95476E+02     4.34297E-03     8.66533E+00     2.43739E+00     1.01961E-02     1.29071E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54058E-06
    6     1.75745E+03     3.63303E+00     1.35560E+00     7.42503E-01     5.61733E-15     2.73677E+11     4.03993E+05     2.00804E-07     3.55626E+08     1.45987E+02     5.24908E-03     8.59800E+00     2.44416E+00     1.01961E-02     1.40874E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54059E-06
    7     2.07062E+03     3.63325E+00     1.34972E+00     7.42503E-01     6.15348E-15     2.91827E+11     3.72958E+05     2.27438E-07     3.56393E+08     1.79085E+02     4.70051E-03     8.53125E+00     2.45093E+00     1.01961E-02     1.51251E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54059E-06
    8     2.39027E+03     3.63347E+00     1.34384E+00     7.42503E-01     5.61733E-15     2.77741E+11     3.96198E+05     2.11314E-07     3.55882E+08     1.54717E+02     5.20886E-03     8.46507E+00     2.45770E+00     1.01961E-02     1.59300E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54060E-06
    9     2.71651E+03     3.63369E+00     1.33796E+00     7.42503E-01     5.61733E-15     2.73387E+11     4.03160E+05     2.08361E-07     3.55780E+08     1.49002E+02     5.40710E-03     8.39946E+00     2.46446E+00     1.01961E-02     1.65230E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54061E-06
   10     3.04948E+03     3.63391E+00     1.33208E+00     7.42503E-01     6.64652E-15     2.79830E+11     3.91233E+05     2.19828E-07     3.56091E+08     1.61305E+02     5.22295E-03     8.33441E+00     2.47121E+00     1.01961E-02     1.71941E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54062E-06
   11     3.38933E+03     3.63413E+00     1.32620E+00     7.42503E-01     5.61733E-15     2.48718E+11     4.45995E+05     1.82648E-07     3.55128E+08     1.19037E+02     6.44104E-03     8.26993E+00     2.47796E+00     1.01961E-02     1.78439E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54063E-06
   12     3.73619E+03     3.63434E+00     1.32033E+00     7.42503E-01     5.02430E-15     2.58501E+11     4.28357E+05     1.97009E-07     3.55448E+08     1.31110E+02     6.12527E-03     8.20600E+00     2.48470E+00     1.01961E-02     1.84134E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54065E-06
   13     4.09021E+03     3.63456E+00     1.31445E+00     7.42503E-01     5.61733E-15     2.82435E+11     3.83901E+05     2.32762E-07     3.56420E+08     1.71827E+02     5.24382E-03     8.14261E+00     2.49143E+00     1.01961E-02     1.89989E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54066E-06
   14     4.45153E+03     3.63477E+00     1.30857E+00     7.42503E-01     6.15348E-15     2.71534E+11     4.03286E+05     2.19920E-07     3.56016E+08     1.52790E+02     5.71288E-03     8.07977E+00     2.49816E+00     1.01961E-02     1.94831E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54068E-06
   15     4.82031E+03     3.63498E+00     1.30269E+00     7.42503E-01     5.61733E-15     2.70388E+11     4.04664E+05     2.21218E-07     3.56035E+08     1.52309E+02     5.80542E-03     8.01747E+00     2.50489E+00     1.01961E-02     2.00033E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54070E-06
   16     5.19670E+03     3.63519E+00     1.29681E+00     7.42503E-01     5.61733E-15     2.64036E+11     4.16092E+05     2.15034E-07     3.55849E+08     1.43182E+02     6.12228E-03     7.95570E+00     2.51160E+00     1.01961E-02     2.03176E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54072E-06
   17     5.58085E+03     3.63540E+00     1.29093E+00     7.42503E-01     6.15348E-15     2.57245E+11     4.28672E+05     2.08292E-07     3.55662E+08     1.34225E+02     6.47538E-03     7.89446E+00     2.51832E+00     1.01961E-02     2.07959E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54075E-06
   18     5.97293E+03     3.63561E+00     1.28505E+00     7.42503E-01     6.64652E-15     2.70760E+11     4.01253E+05     2.30911E-07     3.56258E+08     1.57962E+02     5.92144E-03     7.83373E+00     2.52502E+00     1.01961E-02     2.12766E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54078E-06
   19     6.37310E+03     3.63581E+00     1.27917E+00     7.42503E-01     6.15348E-15     2.64854E+11     4.12133E+05     2.24987E-07     3.56071E+08     1.48764E+02     6.23421E-03     7.77353E+00     2.53172E+00     1.01961E-02     2.22355E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54082E-06
   20     6.78153E+03     3.63602E+00     1.27330E+00     7.42503E-01     6.64652E-15     2.65030E+11     4.10851E+05     2.28309E-07     3.56147E+08     1.50663E+02     6.27257E-03     7.71384E+00     2.53842E+00     1.01961E-02     2.31554E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54086E-06
   21     7.19838E+03     3.63622E+00     1.26742E+00     7.42503E-01     5.61733E-15     2.51920E+11     4.37082E+05     2.11636E-07     3.55695E+08     1.30971E+02     6.96540E-03     7.65466E+00     2.54511E+00     1.01961E-02     2.47271E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54091E-06
   22     7.62383E+03     3.63642E+00     1.26154E+00     7.42503E-01     6.15348E-15     2.49596E+11     4.41325E+05     2.11008E-07     3.55667E+08     1.28756E+02     7.14535E-03     7.59598E+00     2.55179E+00     1.01961E-02     2.66343E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54097E-06
   23     8.05806E+03     3.63662E+00     1.25566E+00     7.42503E-01     6.15348E-15     2.59107E+11     4.20345E+05     2.28306E-07     3.56099E+08     1.44887E+02     6.70876E-03     7.53780E+00     2.55847E+00     1.01961E-02     2.89304E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54103E-06
   24     8.50125E+03     3.63682E+00     1.24978E+00     7.42503E-01     5.61733E-15     2.48670E+11     4.41987E+05     2.15183E-07     3.55745E+08     1.29610E+02     7.31868E-03     7.48011E+00     2.56514E+00     1.01961E-02     3.07068E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54111E-06
   25     8.95357E+03     3.63702E+00     1.24390E+00     7.42503E-01     6.15348E-15     2.54246E+11     4.28971E+05     2.26719E-07     3.56027E+08     1.39560E+02     7.07040E-03     7.42292E+00     2.57181E+00     1.01961E-02     3.33176E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54119E-06
   26     9.41523E+03     3.63721E+00     1.23802E+00     7.42503E-01     5.61733E-15     2.36260E+11     4.68143E+05     2.02299E-07     3.55429E+08     1.15281E+02     8.16044E-03     7.36621E+00     2.57847E+00     1.01961E-02     3.43194E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54129E-06
   27     9.88640E+03     3.63740E+00     1.23214E+00     7.42503E-01     5.61733E-15     2.28420E+11     4.85392E+05     1.93652E-07     3.55247E+08     1.07339E+02     8.71454E-03     7.30998E+00     2.58513E+00     1.01961E-02     3.59018E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54140E-06
   28     1.03673E+04     3.63760E+00     1.22627E+00     7.42503E-01     5.61733E-15     2.43816E+11     4.49810E+05     2.19098E-07     3.55793E+08     1.27064E+02     7.84879E-03     7.25423E+00     2.59178E+00     1.01961E-02     3.72154E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54153E-06
   29     1.08581E+04     3.63779E+00     1.22039E+00     7.42503E-01     6.15348E-15     2.48444E+11     4.38168E+05     2.29551E-07     3.56046E+08     1.35596E+02     7.62465E-03     7.19895E+00     2.59842E+00     1.01961E-02     3.92620E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54168E-06
   30     1.13591E+04     3.63798E+00     1.21451E+00     7.42503E-01     5.61733E-15     2.43919E+11     4.47825E+05     2.25133E-07     3.55919E+08     1.29639E+02     7.96668E-03     7.14415E+00     2.60506E+00     1.01961E-02     4.00796E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54185E-06
   31     1.18704E+04     3.63817E+00     1.20863E+00     7.42503E-01     5.61733E-15     2.42747E+11     4.49664E+05     2.26207E-07     3.55933E+08     1.29087E+02     8.10342E-03     7.08981E+00     2.61169E+00     1.01961E-02     4.09692E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54205E-06
   32     1.23923E+04     3.63835E+00     1.20275E+00     7.42503E-01     5.61733E-15     2.44702E+11     4.43893E+05     2.32585E-07     3.56084E+08     1.33625E+02     8.03238E-03     7.03593E+00     2.61832E+00     1.01961E-02     4.66821E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54227E-06
   33     1.29250E+04     3.63854E+00     1.19687E+00     7.42503E-01     5.61733E-15     2.40715E+11     4.52616E+05     2.28872E-07     3.55975E+08     1.28486E+02     8.36280E-03     6.98250E+00     2.62494E+00     1.01961E-02     5.02916E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54253E-06
   34     1.34687E+04     3.63872E+00     1.19100E+00     7.42503E-01     5.61733E-15     2.38383E+11     4.57400E+05     2.27951E-07     3.55942E+08     1.26143E+02     8.58938E-03     6.92953E+00     2.63155E+00     1.01961E-02     5.25198E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54282E-06
   35     1.40237E+04     3.63891E+00     1.18512E+00     7.42503E-01     5.02430E-15     2.10428E+11     5.27347E+05     1.86837E-07     3.55061E+08     9.38976E+01     1.07737E-02     6.87701E+00     2.63816E+00     1.01961E-02     5.49450E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54316E-06
   36     1.45902E+04     3.63909E+00     1.17924E+00     7.42503E-01     5.61733E-15     2.36098E+11     4.61122E+05     2.30131E-07     3.55974E+08     1.25161E+02     8.88499E-03     6.82494E+00     2.64476E+00     1.01961E-02     5.73737E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54354E-06
   37     1.51685E+04     3.63927E+00     1.17336E+00     7.42503E-01     6.64652E-15     2.28351E+11     4.80328E+05     2.19818E-07     3.55731E+08     1.15213E+02     9.55470E-03     6.77331E+00     2.65136E+00     1.01961E-02     6.04277E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54399E-06
   38     1.57589E+04     3.63945E+00     1.16749E+00     7.42503E-01     5.61733E-15     2.25697E+11     4.86500E+05     2.18209E-07     3.55688E+08     1.12697E+02     9.84688E-03     6.72212E+00     2.65795E+00     1.01961E-02     6.33829E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54449E-06
   39     1.63615E+04     3.63962E+00     1.16161E+00     7.42503E-01     5.61733E-15     2.15784E+11     5.12379E+05     2.04662E-07     3.55386E+08     1.01541E+02     1.07672E-02     6.67136E+00     2.66453E+00     1.01961E-02     6.70102E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54507E-06
   40     1.69768E+04     3.63980E+00     1.15573E+00     7.42503E-01     5.61733E-15     2.15648E+11     5.12224E+05     2.07050E-07     3.55428E+08     1.02095E+02     1.08785E-02     6.62104E+00     2.67111E+00     1.01961E-02     7.02815E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54573E-06
   41     1.76050E+04     3.63997E+00     1.14986E+00     7.42503E-01     5.61733E-15     2.17191E+11     5.07351E+05     2.12274E-07     3.55531E+08     1.04656E+02     1.08377E-02     6.57114E+00     2.67768E+00     1.01961E-02     7.34806E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54649E-06
   42     1.82465E+04     3.64014E+00     1.14398E+00     7.42503E-01     5.02430E-15     2.18276E+11     5.03571E+05     2.16885E-07     3.55624E+08     1.06833E+02     1.08311E-02     6.52168E+00     2.68424E+00     1.01961E-02     7.50931E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54736E-06
   43     1.89015E+04     3.64031E+00     1.13810E+00     7.42503E-01     5.61733E-15     2.04882E+11     5.40966E+05     1.97348E-07     3.55218E+08     9.26167E+01     1.22039E-02     6.47263E+00     2.69080E+00     1.01961E-02     7.84234E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54835E-06
   44     1.95703E+04     3.64048E+00     1.13223E+00     7.42503E-01     5.61733E-15     2.21440E+11     4.92634E+05     2.28354E-07     3.55865E+08     1.13024E+02     1.07032E-02     6.42401E+00     2.69735E+00     1.01961E-02     8.26483E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.54948E-06
   45     2.02534E+04     3.64065E+00     1.12635E+00     7.42503E-01     5.61733E-15     2.10456E+11     5.23858E+05     2.11729E-07     3.55491E+08     9.98376E+01     1.18751E-02     6.37581E+00     2.70389E+00     1.01961E-02     8.72989E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.55077E-06
   46     2.09510E+04     3.64081E+00     1.12048E+00     7.42503E-01     5.61733E-15     2.12061E+11     5.18346E+05     2.17298E-07     3.55599E+08     1.02532E+02     1.18117E-02     6.32803E+00     2.71042E+00     1.01961E-02     9.20817E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.55225E-06
   47     2.16637E+04     3.64098E+00     1.11461E+00     7.42503E-01     6.64652E-15     2.11748E+11     5.18434E+05     2.19581E-07     3.55640E+08     1.02991E+02     1.19416E-02     6.28067E+00     2.71695E+00     1.01961E-02     9.49600E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.55394E-06
   48     2.23917E+04     3.64114E+00     1.10874E+00     7.42503E-01     7.10543E-15     2.15810E+11     5.05022E+05     2.30060E-07     3.55862E+08     1.09332E+02     1.15993E-02     6.23372E+00     2.72347E+00     1.01961E-02     9.86201E-35     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.55586E-06
   49     2.31357E+04     3.64130E+00     1.10287E+00     7.42503E-01     5.61733E-15     2.12156E+11     5.15244E+05     2.26193E-07     3.55766E+08     1.05336E+02     1.20854E-02     6.18718E+00     2.72997E+00     1.01961E-02     1.01520E-34     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.55806E-06
   50     2.38962E+04     3.64145E+00     1.09700E+00     7.42503E-01     5.61733E-15     1.92278E+11     5.76920E+05     1.94004E-07     3.55094E+08     8.40279E+01     1.44992E-02     6.14104E+00     2.73648E+00     1.01961E-02     1.04470E-34     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.56057E-06
   51     2.46735E+04     3.64161E+00     1.09113E+00     7.42503E-01     5.61733E-15     2.06270E+11     5.31892E+05     2.21087E-07     3.55642E+08     9.96005E+01     1.29554E-02     6.09532E+00     2.74297E+00     1.01961E-02     1.08309E-34     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.56344E-06
   52     2.54685E+04     3.64177E+00     1.08526E+00     7.42503E-01     6.15348E-15     2.08800E+11     5.22683E+05     2.28868E-07     3.55799E+08     1.03745E+02     1.27515E-02     6.04999E+00     2.74945E+00     1.01961E-02     1.12166E-34     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.56671E-06
