# AGSS09p2-Free-Opal-D5-PartIon-OV02
#
# 1: num      2:age           3:log(Te)         4:log(L/Lo)       5:Xc         6:NmuMax         7:Rmax  8:Tmax         9:NTmax         10:CpMax         11:KappaMax         12:RhoMax    13:R (Ro)    14:log g    15:(Z/X)s       16:Int((Nmu/r)^1.5)         17:RConv    18: Zs    19: Xs    20: Mass    21: C12(0)    22: Mover    22: He3(0)
    0     0.00000E+00     3.63415E+00     1.38009E+00     7.50000E-01     6.64652E-15     3.02182E+11     3.60225E+05     2.29419E-07     3.58494E+08     1.80999E+02     4.28598E-03     8.79846E+00     2.42740E+00     9.14822E-03     1.33304E-35     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     1.00000E+00     6.36294E-06
    1     3.01906E+02     3.63438E+00     1.37406E+00     7.50000E-01     5.61733E-15     2.78187E+11     3.98089E+05     2.01594E-07     3.57620E+08     1.41069E+02     5.04440E-03     8.72828E+00     2.43436E+00     9.14822E-03     4.55459E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36294E-06
    2     6.02324E+02     3.63460E+00     1.36818E+00     7.50000E-01     5.61733E-15     2.87685E+11     3.82109E+05     2.16330E-07     3.58025E+08     1.57097E+02     4.79254E-03     8.66046E+00     2.44114E+00     9.14822E-03     4.73290E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36295E-06
    3     9.08938E+02     3.63482E+00     1.36230E+00     7.50000E-01     6.64652E-15     2.94595E+11     3.69901E+05     2.28664E-07     3.58385E+08     1.71626E+02     4.61219E-03     8.59323E+00     2.44791E+00     9.14822E-03     5.09137E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36295E-06
    4     1.22190E+03     3.63504E+00     1.35642E+00     7.50000E-01     5.61733E-15     2.72268E+11     4.06736E+05     2.02058E-07     3.57582E+08     1.35932E+02     5.38541E-03     8.52657E+00     2.45467E+00     9.14822E-03     5.02955E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36296E-06
    5     1.54133E+03     3.63526E+00     1.35054E+00     7.50000E-01     5.61733E-15     2.89921E+11     3.76030E+05     2.28343E-07     3.58327E+08     1.66311E+02     4.83321E-03     8.46048E+00     2.46143E+00     9.14822E-03     5.39614E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36297E-06
    6     1.86735E+03     3.63548E+00     1.34466E+00     7.50000E-01     6.15348E-15     2.75761E+11     3.99783E+05     2.11919E-07     3.57817E+08     1.43299E+02     5.36231E-03     8.39497E+00     2.46818E+00     9.14822E-03     5.88865E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36298E-06
    7     2.20012E+03     3.63570E+00     1.33879E+00     7.50000E-01     6.15348E-15     2.75673E+11     3.99323E+05     2.14603E-07     3.57874E+08     1.44469E+02     5.41173E-03     8.33001E+00     2.47493E+00     9.14822E-03     5.46360E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36299E-06
    8     2.53976E+03     3.63592E+00     1.33291E+00     7.50000E-01     6.64652E-15     2.78012E+11     3.94455E+05     2.20701E-07     3.58032E+08     1.49768E+02     5.37023E-03     8.26561E+00     2.48167E+00     9.14822E-03     5.55010E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36300E-06
    9     2.88642E+03     3.63613E+00     1.32703E+00     7.50000E-01     6.64652E-15     2.77353E+11     3.94861E+05     2.22740E-07     3.58072E+08     1.50180E+02     5.43762E-03     8.20176E+00     2.48840E+00     9.14822E-03     5.99972E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36301E-06
